Text,Category
I know we made a good piece of Television like I know that and I know it wasn't because of the budget it was,
because of the story it was because of the heart it was because of of the commitment to it and so you don't need,
to make a movie for $670 million for it to be good I know that for a fact and,
and a lot of us come from that that truth thank you hey welcome to offs,
script with The Hollywood Reporter I am your host Ivan orgy here at the Georgian Hotel hotel in Santa Monica California,
today we are serving up some hot takes with six aess actors from some of this year's award contending,
films you're about to hear from Coleman Domingo of Rustin Robert Downey Jr of,
Oppenheimer Paul Giamatti of the holdovers Mark Ruffalo of poor things,
Andrew Scott of all of us strangers and Jeffrey Wright of American,
fiction they are on the record but just little off script with The Hollywood,
Reporter over to you Scott thank you Ivon it is truly a pleasure to have with,
us these six actors who did such outstanding work in 2023 films and I want to begin by establishing the fact,
that there are a lot of connections at this table some of which the general public is well aware of some of which,
even you guys yourselves may not know because these started early in your career so I'm going to just mention a,
few movies and if the people people who were part of these hear stuff I don't want to,
hear 1998 25 years ago Mark Ruffo and Paul Gatti you were both in safeen do we have,
any memories of that nice stash bro that's it that's the best the movie,
there you go now that same year 25 years ago Paul Giamatti and Andrew you Andrew,
Scott were both in Saving Private Ryan how is that even possible yeah I was the guy in,
green I loved him nice work oh [ __ ] I didn't even know,
I didn't know that either because we were together subsequently 10 years after that the,
same two gentlemen John Adams sure John Adams I was the guy in the powdered way that's now Mark Ruffo and Jeffrey Wright,
almost 25 years ago angle Ride With the Devil any memories of of that that true story yes I lied about being able to,
ride a horse I remember I remember very vividly walking past you you were tied to a,
fence post if I'm not mistaken that's right Beautiful Beginning I Remember Now Paul you and,
Coleman Domingo in 2013 all is bright oh yes yes legendary all is,
bright that old CH that really yeah wow it's a Christmas movie it's very dark,
yeah now Paul and Jeffrey dark Christmas movie both in Lady in the Water 2006 and,
the eyes of March 2011 wow so there may be some uh memories there,
everything okay you're like the American Michael Kan can you speak to that now Robert and,
Mark here at the end of the table it started with 2007's zodiac and then,
there was a whole bunch of movies slow uh company called Marvel I believe you guys were together were you in that oh,
wow yes after I convinced you that's true though right you were lobbying for,
Mark to do it I wouldn't be here today without you really in so many ways and,
finally I will note that this year not only uh is Coleman Domingo terrific in,
rusting but so is Jeffrey right so there's two right up through the present it's our first time working together,
that's crazy really yeah so you're not only here because of your great work but you're also here of your great work in,
the project he's I'm just following,
Coleman's got two two going now we're going to get into these 2023,
performances of each of you but um I want to First go back and ask each of you about sort of a a pivotal Turning,
Point a decision in your career that maybe laid the groundwork for the uh eventually having a year like you had in,
2023 and Robert maybe we can start with you your late father who you made this,
wonderful uh documentary senior both with and about he was a pillar of the indie film Community you started out,
very much in the Indie art housee uh scene but there was this moment when,
you're approached by Marvel about Iron Man because of your background in indie film did you have any hesitation about,
taking them up on that so my dad raised me in this environment of to be growing,
up was to be making movies and then doing this documentary about him and,
then my Mrs who produced it with Chris Smith having the tenacity to tell me that I had to follow through with it and,
not try to do a puff piece at all because our our history was so complicated that was really a big,
turning point and then shortly after that Nolan called so you never know what happens when you realize if you deal,
with the things in your life that are so small but so important it kind of opens gateways for the stuff that we think as,
important you know or maybe perceived as important you've said and I'm going to quote quote back to you I was raised in,
a that rebelled against the idea of a summer blockbuster having any Merit I'm happy that I regained my connection with,
a more purist approach to making movies most recently with with Oppenheimer but before I mean just this idea of stepping,
into that world was it jarring no because anyone who knows John favro knows that he is I mean I remember,
seeing swingers and just that monologue he has and I was like and he wrote this I was like who is this guy because there,
was no real assurity that this was even going to take off Iron Man was like second tier hero they kind of let the,
lunatics run the Asylum for a little while and we so it was a completely an indie approach to a a genre movie to,
begin with but I've seen that in all the films this year there's this thing happening I would say particularly this,
year where I feel like many of us are afforded this opportunity to kind of like there's a little subversion within,
the accessibility that I so appreciate Coleman let's go back if we can to I,
