Text,Category
you should know assuming yeah welcome to Nobel week Stockholm yeah and all Nobel,1
laureates yeah I were asked to bring a thing an artifact to the Nobel Missy in Stockholm yes so what did you bring yeah,1
I loved these true things yeah I I won't explain now those are,1
gift from my colleagues last year I got this and this is a miniature of 27 years,1
ago on me and they III didn't know,1
though that was a secret that I I was got I got this one after such that to,1
celebrate her party in Spanish they gave me this quiet it's very very cute yeah,1
and this is the way you do your research Oh always I yesterday I said the,1
probably the origin of my world the first I found the phenomena and for,1
me that was a starting point of my work and so I like microscope you to use to,1
see something and I believe the discovery of this some sort of a,1
phenomena is most important for biology still I think oh yeah so many my,1
colleague knows that so they gave me,1
this miniature this is their my for a 27 years old so I had a black back here but,1
it's very much like you yeah thank you that this one yeah and those ones either,1
yesterday I told about what is ATG gene,1
and this is a 8212 it's a big thing like molecule,1
bound to 80 zhuhai and combined by a tg16 diamond so this is the first we,1
solved the structure of a t12 5/16 body,1
to end this one was also present from a colleague two years ago or something,1
this is exactly another you became like molecule this molecule the homeowner of,1
this molecule in moment is so called lc3 that is very important molecule for,1
research so those I brought otherwise I,1
don't have many any special things so I,1
was thinking and when you were born in 1945 in Japan it's a Skype kind of a,1
When were you born,1
rough time then oh yes but I did they do,1
not remember because I was so young so then then when I was young boy Japanese,1
recovered so quickly everything is goes up so my young age,1
were up to probably still graduate still,1
undergraduate that everything is quite positive period then I yeah then we have,1
now because now we have worth some sort of their mature,1
society and and we have many earthquakes right like volcanoes,1
yeah different so I yeah with you everything is not so stable yeah I never,1
saw that kind of thing when I was young I was wondering and when you were a young boy what did you picture yourself,1
When were you a young boy,1
doing as a grownup yeah probably probably I said yeah I have no talent to,1
drawing or sports or something yeah probably I have not so many choices okay,1
yeah my father was a process person took,1
Kyushu University and my parents probably expected even beat Society for,1
me yeah it's not yeah it's not that,1
far-fetched for ya Yin but you started out studying chemistry and then you,1
Switching from chemistry to biology,1
switched to biology yes that okay a little bit I said in the mixture I you,1
understand the chemistry is so as a long story and also I established so when I,1
went to the Tokyo University chemistry,1
lecture was not so stimulate dip for me but that time as I said the molecular,1
biology that period and everything is so fresh for me and it was so fascinating,1
movie so I want to be a molecular,1
biologist that there is nine I have know,1
for example in high school age I haven't take powers ecosphere lecture but,1
immediately I interested in the world I was under graduate school so was it,1
Inspiration,1
any particular person that inspired you oh ma I care about yeah yeah yeah yeah,1
probably I want saying that extra that was very,1
good time for me so Justin and every,1
they were for example genetic code as,1
the spring so ATG means or without me or,1
that kind of things I was so excited to,1
me so that was that of course I learned about the near bar coach or something,1
yeah that's my issue of their molecular biology yeah,1
according to your experience what personal characteristics are valuable to,1
Personal characteristics,1
a scientist what do you need - I it's,1
not sterile type of research I'm,1
probably I'm not typical why not I don't,1
know I I like as I said I'm not a,1
competitive person and I want to study,1
something I interested but many many,1
successful scientists do not behave like like me yes but I hope every not not on,1
the scientist our society should have,1
heterogeneity at a very important for human yeah so,1
and what a difference the ampulla needed yeah so even scientists we should have,1
many types of and this I I don't know,1
what should be I don't want to say this is a most typical or most important way,1
to use that science also you have yeah that might have been even worse I yeah,1
Research group,1
and you're still running a research group the you said that it's important,1
with different kinds of scientists do you think like that when you in your team do you do you also have different,1
yeah it's so of course when I started,1
notoriety just important things what's going on buy more for your am study and,1
then genetic stock and then work your biological research study so even though,1
Auto Fuji yeah we should focus some,1
thread up their subject during my 27,1
years so but my I hope my lab health are,1
heterogeneous people just doing this research you know to resolve their own,1
prophecy so someone should be molecular,1
iris somewhere genetics number biochemist good luck biochemist some,1
cell biologists yeah I won't have were quite heterogeneous people in my in my,1
home do you still do your own experiments Oh sometimes I try but it's,1
very difficult yeah we need some constant in time so I started some some,1
day but I should give up to continue so,1
it's a I cannot say I'm doing but I research by myself yeah I was,1
thinking if we turn to your discovery mmm so this is you can okay say yes is you,1
show it to the camera like that that's a very schematic yeah yeah yeah picture,1
what it Otto Ferdie yeah might be but you show that Otto Fuji which is self,1
eating and it's not only a way of degrading material it's also about,1
recycling mm-hmm so why does ourselves need a system for,1
recycling okay I always said for example,1
if you stop if you know not have any,1
hood it's quite often a challenge in,1
nature for example you can see many TV programs out there polar bear could,1
cannot get any food for several days and many many you can have that candle lion,1
even lion cannot get so in their pollution any starvation is the most,1
challenge two daughters - so we should have their recycling system at the,1
beginning of their our life so I think for example if I we one day starvation i,1
I don't know what I heard the our people,1
cheering - 70 percent of the bell volume Wow yeah that means the autophagy is very,1
important for our whole body labor to,1
the auto Fuji and degrade that they are one protein and I mean I said surprise everywhere in,1
your body and especially for brain hmm and quite interestingly if you start our,1
body every cell most almost all part of,1
our organ starts out of it but only,1
brain doesn't so that means playing the lab system is so important so first they,1
are protected for starvation that means they're other for example liver it's,1
also important for some survival,1
yeah so I believe there's recycling it's,1
a very important yeah I die I want to emphasize yeah and if you're if you are,1
Worst problem,1
cell cell too much a tougher D or too little what is the worst problem for sale,1
probably yeah as I said of course so the recycling problem with for,1
example our auto festival to be so cannot survive under starvation,1
condition that means the recycling is a very important for survival and also as,1
yesterday autophagy has another function to get rid of the harm for excessive,1
must be years so if you have defect in,1
notify see many harmful protein or shampoo or dangers organ accumulate in,1
ourselves that is also very dangerous for life so both of us if,1
now we know what the fidgets effect has many many defecting health or disease,1
problem that many people interested in and out of the G that's one of the most,1
important yes and because we talk about recycling in nature and the environment,1
there are some materials in our environment that are not easily degraded,1
or recycle and you know plastic things that end our lives is the same thing in cells or the particular materials that,1
are hard to degrade and recycle yeah probably in usual case lysosome has so,1
important activity to degrade almost everything so but we know many many,1
lysosome disease that cannot delayed for examples specific proteins or specific,1
molecule those are all those call goes there some sort when he serious problem,1
of health we long long time who we know are many many lysosome disease but we,1
didn't have any autophagy disease probably autopathy is more fundamental function,1
so probably both of if you have a severe outfit effect they cannot survive so we,1
didn't have any specific disease world autophagy that my I think that that,1
might be maybe just here this should be,1
like in a mammalian cell because this is Eliza salmon and it's encapsulating,1
there things that should be and here it's yeah like but you did you research that's why we had this little,1
factory your favorite organism yeah the jeast and so okay yeah no that's why we bought,1
that yeah okay first I will explain yeah the auto fudgy most important event is,1
how to seek a star potion was height so,1
o to into autofocus moon yeah but no nothing was known about the,1
molecular mechanism forming designed with strategy so so that was the thing yeah yeah I so we need probably we need,1
quite good model system then when I,1
started I was working on the back you it not like though we have only this kind,1
of big it compartment and eyes my eye my,1
eye assume this must be homologous to,1
the lysosome so I want to know if this,1
is really the data compartment how this material come across the membrane so I,1
thought meaning we are doing some sort of membrane biology yeah but I they're,1
beginning my starting point versus found this kind of structure inside about you,1
and then electron microscopy of this,1
process the probe this is exactly the similar phenomena shown this and of,1
course lysosome is much much smaller than vacu but you can see all of,1
some performed two and then she was with me tea compartment and hydrolytic enzyme,1
attack the inner membrane structure so,1
when you were looking like this at what point did you understand that you had,1
made a breakthrough discovery but what was there yeah,1
when I told this is a electron,1
microscope but I just sold this phenomena under write more a microscope,1
and I thought these structures are moving around in the vacuum yeah,1
graduate is structure accumulating the backhoe and that was so it reached me,1
quite fascinating phenomena so I was convinced I might have a real yeah in,1
someone what was the feeling in your heart at that time yeah yeah that was the really,1
probably most exciting and in my life yeah yeah you mentioned that before but,1
Starting a career today,1
he said that one reason why I started to study at offered you was that you don't,1
feel that you're very a very competitive person so you choose that kind of field yeah so I was just wondering if you were,1
starting your career today yeah what field would you yeah I many times I,1
asked a similar question yeah I always say probably if I'm now I may not study,1
out of us because it's is so popular and many preprinted of course their auto,1
body is just a general word for many,1
many autophagy against analyze a structure,1
biology well and cell biology in many many way but probably is so popular so,1
I'm want to make another subject to a,1
while welcome but yeah like watch was what extent yes I always say it I was,1
too old and for me always say even in,1
East we know about 30 percent of the mystery of the auto fission is probably,1
less than 30 percent Nima marion autophagy so there are many many things,1
to analyze father so in that case i,1
might start off Papaji in some aspect of,1
the prophecy I don't know being a,1
Frustrating times,1
researcher can sometimes be frustrating yeah I understand yeah,1
and did you during those frustrating times did you ever think of giving up,1
just quit and do something completely different,1
yeah,1
I'm not so hard to have a good result so,1
I have not so much pressure to do of,1
course one reason is auto fudgie is so new field and not so many people working,1
out of me so I was really happy every single is new for me yeah so but we,1
example when we started the cloning of 80 genes we had everything's are noble,1
and we haven't get any answer to what they are doing so that was the very,1
frustrating time and I didn't so much,1
worried about but many people say at that time,1
you always complain now under science meeting we have so travel unhappy,1
yeah it is voting so for how long time did you endure without getting into,1
T12 system,1
results but yeah we found a t12 system,1
and within two or three years we got many many new findings then so from them,1
everything is a some sort of there we should to get information about the G,1
protein and how they are working in the cell so we have many many problem should,1
be solved so we started yet exactly that,1
way but probably I'm balanced and I want to be know what is really what was he,1
doing nice so I couldn't pursue that,1
kind of for a long time because I have so many things to do so now I go what the,1
original questions now in my lab so I what is working on earth,1
what independent how about our materials,1
is degrading life is over vacuum that much yes Christian my house you,1
Technical skills,1
mentioned that when he will little your mother had technical skills and one of,1
the first things you got to know what's about the streptomycin yeah yeah yeah,1
but you never did you never were interested in being a doctor oh yes I know if I so many very good,1
risk doctor at that moment probably I,1
think the medicine is one of the most,1
important field but I don't know that,1
wasn't the case yeah you like to look at the stars and nature yeah you are now I,1
Advice for younger scientists,1
mean you mentioned that you've been struggling yourself yeah and but now you were about to receive the Nobel Prize,1
and very successful and so do you have any piece of advice for younger,1
scientists that are now in the process were you worried for what yeah unfortunately I saw the special in Japan,1
but I heard I met Swedish scientist yes,1
they were that day before yesterday also they feel it is not so good time for,1
basic research because,1
a little bit younger generation in Japan,1
for your example professor fifty or,1
sixty they it is not easy to get the money told they should write the grant,1
application every time and also it's not so easy and they feel very competitive,1
and also many many other administrative job things happen to me here to them so,1
they have not good time to concentrate on science so young generation watching,1
their P I they looks not so happy when I,1
was yeah so I hope I want me change that,1
kind of situation and but for young,1
generation yeah if you these days what,1
happened for them is a you should have a good paper when you have undergraduate,1
school or postdoc you should always pushed their fish to have a big general,1
paper or something yeah but it means if you you should work on popular topics,1
because it is much has a chance to get,1
nature science or a cell paper but so it,1
is very difficult to stick on their new,1
subject but thank you dear yeah so my advice to the young general,1
if you really have you can believe you,1
can have good results and as many many income very competitive few you let go,1
but if you really interesting something something you had better keep that,1
question yeah so don't hurry or you had,1
better finder phenomena you can continue,1
five years ten years twenty years thirty seven years yeah yeah that's my advice,1
Family,1
finally we have talked a lot about your work and you will carry you but when it,1
comes to life outside of the laboratory mmm and what is important to you yeah,1
probably in my case my wife took care a lot to me,1
and I should appreciate her help and,1
yeah it's very difficult to do everything so nicely but now I won't,1
happen for tab and more relaxed times so,1
it's earth yet attacking for me I was,1
just thinking maybe I haven't been your family and your relations had been important for for your scientific,1
achievement yeah yeah probably my I had,1
two sons but they didn't when entered and science will probably they watch me,1
thank you very much ok time domo arigato got so much,1
How did you receive the news that you have been awarded the Nobel Prize?,1
the first message I received from another foundation was by telephone call,1
it was around the 5:00 p.m. of October 1st and actually people told me,1
something happens maybe before 4 o'clock so we are completely free out of these,1
things and we're concentrating with my colleague about the our paper in the,1
manuscript editing and suddenly my secretary came with some stiff face and,1
nope that they opened the door and you have to take the phone so I was not so,1
sure what's going on something bad or good I took the phone and the person,1
recording was said dr. Perlman so I made it to catch the point and then I had a,1
very nice and pleasant conversation but often I heard there is a fake call and,1
so of course he also mentioned I asked him to send the email to just confirm,1
and I won so I received the email it was real and so we told everybody in the,1
love and of course my family and other kind of the good exciting,1
celebration - I mean the nice picture. And the picture we took then was posted on,1
the website of the Nobel Foundation so it was a very exciting and a pleasant,1
and unforgettable incidence in my life,1
Why did you decide to become a scientist?,1
there are several reasons first I have to decide whether go to medical school,1
or law school or several other choices of course I went to medical school are,1
strongly influenced by my father and also I mean the family reason and,1
secondly I read the biography of Hideo Noguchi who was the very interesting,1
doctor with the United States in his 20s and become professor in the Rockefeller,1
Institute and he found these ciphers as a cause of the policies and also he died,1
in Ghana during his study on the yellow fever pathogen so that was very striking,1
and I went medical school and the other reason I've had a friend only a father,1
and son and he died of the stomach cancer very acute and I was very much,1
you know very sad and I thought what I can do anything,1
for this type of the diseases,1
Can you describe the main impact of your discovery?,1
so cancer immunotherapy has been I mean idea has been around many decades before,1
Jim Allison and myself demonstrated in the above system the reason why many,1
people failed one after another is they didn't realize the immune system is,1
already suppressed by the tumor growth so if we push the accelerator of the,1
immune system while the immune system is under the strong brake there is no way,1
they can drive the immune system forth and only the people find the major,1
immune negative regulator means a break that was say therefore and pd1 and Jim,1
Allison first showed say therefore blockade can cure the cancer in animal,1
model and soon after we found a pit I mean the we found a pity one before but,1
we demonstrated pd-1 blockade can also cure the cancer unfortunately the pretty,1
one is less toxic video and blockade I mean and has chronic and now it used in,1
a wide spectrum of tumors starting from melanoma lung cancer renal cancer,1
stomach cancer meaning that's slightly advantage of the PD one over C therefore,1
C therefore has a very strong activity and sometime too strong,1
also a bit side effect is stronger I received many prizes of course before,1
How does it feel to do work that saves lives?,1
the novel prize and this is a probably last prize I get but I felt when I see,1
the patient and saying they were saved by the therapy we developed is the most,1
moving and also the time I feel my life has some meat so that was the very very,1
you know unforgettable and I was so very touchy and I feel I feel about it I'm,1
Can you tell us about some of the cancer patients youÃ¢â‚¬â„¢ve met?,1
not the clinician but I've involved some clinical trials and the one lady who had,1
a big tumor this is ovarian tumor and doctor of,1
course thought hopeless but she recovered and there was almost five,1
years ago and treatment lasted one year and she is still tumor free and enjoying,1
her life one time I saw she playing golf so there was a real amazing and similar,1
story I pray golf myself and I have a friend,1
who told me this is my last round in my life because I had lung cancer but,1
if what about maybe half a year was so later he came back and I just started,1
the treatment you developed and he just completely cured was fantastic well,1
Do you have a message for those who are fighting cancer today?,1
unfortunately the our treatment is still not complete only 20 to 30 percent our,1
responders and we have a long way to go but now this is the just beginning and,1
many many scientists in the industry jumped in so I hope this therapy of the,1
or widely used and reach to the almost everybody in the world hopefully by the,1
end of the century just like the infectious diseases almost,1
completely eradicated in during the last century,1
I hope the century will be remembered at the century of the cancer treatment,1
that's my,1
Do you think that diversity is important for fruitful research?,1
yes I think so,1
always especially in the life science we don't know exactly where is the best,1
target nobody knows which mountain we should crime we have to try many things,1
so for that purpose everybody has to think different idea and have to,1
discussion so diversity are including everything gender nationality different,1
culture maybe age you have some very brave young people very brave that's,1
good and each people has more experience and that's very important well to make,1
What qualities do you need to be a successful scientist?,1
yourself a good scientist I always say first you have to have curiosity if you,1
don't have any curiosity you better choose something else and then we so to,1
be good scientists we have to solve something new so something new usually,1
not easy because it's difficult that why it remains unknown so you need enough,1
courage to tackle this difficult problems and you need a courage and that,1
is a challenge so challenge with courage and I call this three primary see and,1
then once you decide to tackle you have to concentrate and continue,1
and the eventually you build up confidence so this is another three see,1
that's my what I tell to my students I,1
How have you maintained your curiosity?,1
never tried to keep my curiosity it comes from inside when I learned,1
something in you I always oh this is quite interesting but why and curiously,1
just endless it comes from inside,1
Who has most inspired you?,1
well there are civil level as a general science the first incident I was,1
enchanted of charmed by the years Natural Science is the very tiny tiny,1
ring around the Saturn which is watched through the telescope at the elementary,1
school that was first I got very much interested want to be astronomer and I,1
read many books but then later switched the medicine because I read a biography,1
of a Hideo Noguchi and the second very critical moment maybe the time to come,1
back to Japan so I was another big choice in my life whether I stay in,1
United States keep going and many people advised to stay but I,1
decided to go back to Japan that's 74 other kind of turning point in,1
both cases I was very fortunate my decision was,1
correct or correct because I made something retrospectively well for my,1
Was there a specific moment that sparked your interest in science?,1
science I have so many important mentor or advisor the first mentor Osama,1
Hayashi who discovered oxygen gas oxygen directing cooperation into the organic,1
compounds gave my solid background in science and also international fearing,1
science has to be international it's not the local thing and the next person who,1
opened my eye to the molecular minerals is Donald Brown of Carnegie Institution,1
of Washington and without him I never go into this particular field and then I,1
went to very latest laboratory where I actually started this antibody,1
diversification so those three are very important during my scientific career,1
How did you stay focused on your research for all these years?,1
well I didn't have any resistant fortunately my parents very supportive,1
in a very different psychologically and financially they support it and then the,1
my family a wife and children I was kind of work Holly I don't spend much time,1
with my family I feel sorry for them but they just allowed me to concentrate on,1
the my research so I'm very fortunate so playing golf I completely forget about,1
YouÃ¢â‚¬â„¢re a keen golfer Ã¢â‚¬â€œ do you do your best thinking on the golf course?,1
the science and I concentrate but the the reason why I like golf game it's not,1
a competition it's kind of the fight against yourself,1
for example if you hit a bad shot you get angry but you get angry against,1
yourself and always you have to think very carefully because every time you,1
hit the ball run into different conditions sometimes grass thick,1
sometimes you know different weather and you always have to think but it's a,1
different type of challenge but I can completely forget about my science and,1
it's also very enjoyable,1
What do you consider to be your greatest achievement?,1
for scientific career I think I made two major contributions one is the I found,1
the molecular mechanism for the antibody diversity namely antigen induced,1
antibody diversity class switch recombination and somatic mutation and,1
this pd-1 break discovery and its application to cancer immunotherapy but,1
these days I'm still working so I'm very much pleased this of my two lines now,1
coming to very close because can see me no therapy depends Lots on your gut,1
microbiota and gut microbiota regulation depends on IG a secretion and the,1
molecule I discovered for antigen induced memory AI D does I found another,1
important molecule and do two molecules collaborate to maintain our gut,1
microbiota and this is important for homeostasis and also anti-tumor immunity,1
so that's my scientific contribution but for for the person life I had a family,1
and two children fortunately both doing well some is the medical doctor,1
physician and daughter is the embryologist working science field and,1
what's rest I also served the administration in the medical school,1
and I also served as the scientific adviser to the Prime Minister almost 10,1
years ago and I don't know whether I made something through this type of the,1
administrative work but at least I tried to improve scientific environment,1
What was your childhood like?,1
so,1
you know i have uh two brothers and two,1
sisters,1
so um we have a large family and,1
especially when we were young of course,1
that,1
that involved a lot of chaos uh and uh,1
we had a lot of freedom at that time you,1
know,1
children now seem to have very scripted,1
uh lives,1
and whereas we had a lot of freedom uh,1
basically you know,1
you go out of the house in the morning,1
let's say in the summertime and you come,1
back in the evening for dinner,1
um and nobody's expecting to see you in,1
between,1
so um yeah it was uh it was a lot of fun,1
uh to grow up in that kind of an,1
environment,1
Was there a particular teacher that inspired you?,1
for my i would say for my my career,1
inspiration i was very fortunate to have,1
a,1
high school biology teacher dr rose,1
nelson and,1
she was a phd so she had done research,1
had done,1
post doctoral training and um,1
she taught us biology not as a series,1
of you know sort of facts but,1
she would teach us about discoveries and,1
about scientists who made,1
discoveries and the sort of the,1
excitement of,1
of learning something new in science and,1
that really excited me,1
she also recommended to me a summer,1
program,1
at a research institute where i was able,1
to,1
experience research firsthand um and so,1
all those experiences really,1
um really excited me and,1
developed a passion in science that i've,1
had ever since and,1
so i really i really owe that to her and,1
it's it's one of,1
my regrets you know that she passed away,1
before this time because um she was a,1
very,1
uh very positive person and very,1
ambulant,1
joyful um so she always had a beatific,1
smile on her face,1
and and she would uh she would be,1
teaching us something and she would say,1
now i want you to remember that when you,1
win your nobel prize that you learned,1
that here,1
and she said this you know not to me to,1
you know,1
to the class and she would say this as,1
as a statement of fact so i don't know,1
how she knew,1
but she was really a remarkable teacher,1
Why did you become interested in genetics?,1
well i guess you know the idea of of,1
hereditary,1
passing down of traits and how this was,1
determined by sequences within the dna,1
you know it is it's kind of a very uh,1
amazing thing right to go from these,1
molecules to,1
um traits of of of living organisms,1
and that really interested me and uh so,1
i was,1
uh first interested in genetics sort of,1
a basic,1
uh genetics and thought i would do you,1
know sort of basic genetic research,1
uh but while i was in college a family,1
that we knew had a child born with down,1
syndrome,1
and i became interested in medical,1
genetics and decided that,1
i would try to get training both as an,1
md,1
and a phd so that i could do both,1
genetics research and medical,1
genetics as a clinical specialty,1
How do you deal with failure?,1
right well when i was a college student,1
i worked in a lab,1
in boston and the the,1
leader of the lab he would always say,1
search and research,1
because that's the nature of science,1
that um there are always obstacles to be,1
overcome experimentally and um,1
and that's a challenge and if if that,1
isn't something that's enjoyable to you,1
then probably science is not is not a,1
good line of work uh,1
because we're we're constantly uh faced,1
with those kinds of,1
obstacles and challenges and uh,1
you know part of the fun of the work is,1
uh is using our,1
our creativity to come up with solutions,1
to those kinds of problems when they,1
arise,1
persistence is a a very critical uh,1
attribute absolutely and then the other,1
part of it that,1
is very helpful is to have colleagues,1
who take orthogonal approaches,1
to the science so they may look at the,1
science in a slightly different way,1
and and and may provide an avenue,1
for uh circumventing various obstacles,1
um and so when we were trying to um,1
isolate the the dna sequences that,1
uh coded for the uh the subunits of the,1
hypoxia inducible factors,1
we we took one approach uh because we,1
thought that there was only,1
um one one protein that was,1
involved and we took a approach that,1
involved,1
um screening uh human dna sequences in,1
bacteriophage,1
and we screened millions and millions of,1
these uh these clones and we,1
we got negative results um so you know,1
as the leader of the research,1
project it's sort of my role to decide,1
what to do so you know we could um,1
continue,1
doing what we were doing and that didn't,1
seem like a very good idea,1
we could give up and let someone else do,1
it that didn't seem like a very good,1
idea,1
either or we could take a completely,1
different approach which was rather than,1
a molecular genetic approach,1
to take a biochemical approach and try,1
to purify,1
the protein through uh biochemistry,1
and this was not exactly our forte so,1
you know we owned none of the equipment,1
that was required to purify proteins,1
did not really have the expertise to do,1
that uh,1
but fortunately across the street at,1
johns hopkins was the lab of uh,1
tom kelly and his lab was one of the,1
first labs to purify a protein,1
based on its binding to dna and so with,1
the assistance of his lab,1
we were able to do that to purify the,1
protein,1
uh from 100 liters of cells,1
growing in culture and to get just,1
enough of the protein that we could,1
obtain some,1
protein sequence and then use that,1
protein sequence,1
to identify the dna sequences of what,1
turned out to be the two subunits of the,1
protein,1
so in fact the approach that we had been,1
taking would never have worked,1
uh because that approach only works if,1
the protein has a single subunit,1
and because our protein turned out to,1
have two different subunits,1
um only through the purification the,1
biochemical purification,1
uh would we have been able to succeed,1
How important in freedom in science?,1
and,1
you know so again you know the the,1
freedom and the creativity these are the,1
really,1
fun parts of the job that no one no one,1
tells us how to do,1
our work and as long as we're successful,1
you know we're left alone,1
and and we can do our thing um and so,1
to have that freedom to uh not only,1
with regards to you know problem solving,1
but even more fundamentally what,1
questions do we,1
ask you know what what are what are the,1
really important questions that we'd,1
like to answer,1
um that's that's left entirely up to us,1
uh and and obviously that changes over,1
time,1
um and so you know we started with a,1
more with sort of more basic fundamental,1
questions,1
and then uh over time have shifted to,1
more applied,1
uh applications uh as the project has,1
evolved,1
and uh so that's been very satisfying,1
over the course of uh 30 years to be,1
able to connect the dots to very,1
molecular fundamental questions how does,1
a cell,1
sense the oxygen concentration and,1
respond to changes,1
all the way to you know can we develop,1
new treatments for anemia for cancer for,1
cardiovascular disease,1
and you know as someone trained both in,1
research,1
and medicine you know for me it's always,1
i've always felt it was my role to,1
bridge between the basic science,1
and the and the clinical translation and,1
so you know it's been very satisfying to,1
reach that point,1
where um uh we we see these,1
uh translations occurring now uh as a,1
result of these basic discoveries that,1
were made,1
25 years ago,1
Have you ever doubted yourself?,1
that's a good question um,1
well i guess i yeah i doubt myself often,1
um you know i often doubt uh you know i,1
might am i taking the,1
the the best approach uh uh,1
am i uh running the lab most efficiently,1
um and uh you know am i uh,1
am i mentoring my students well enough,1
could i be doing a better job at that so,1
yeah i i,1
i guess i have those kind of doubts or,1
self-criticism,1
on a fairly regular basis,1
How did you discover you had been awarded the Nobel Prize?,1
well i was uh i think the word is,1
dumbfounded,1
so uh you know it was of course in the,1
us it was the middle of the night,1
and uh i was sleeping very soundly and,1
the phone rang,1
and uh well you know when i finally was,1
uh awoken,1
out of the sleep and got to the phone in,1
the hallway,1
it had stopped ringing so you know again,1
i was not even really awake yet and i,1
figured well maybe this is somebody's,1
idea of a bad joke you know because i,1
didn't know what day it was,1
um so i went back to sleep and uh,1
actually quite a while later the phone,1
rang again i said perhaps i better be,1
quicker this time so i got to the phone,1
