Text,Category
"In 2000, David Boies appeared before the Supreme Court in the case of Bush v. Gore.",0
in Bush v Gore you had sort of the highest stakes that you can in a,0
politically related case that was a case in which the presidency of the United,0
States was on the line and as someone,0
who as I said earlier it would have been a American history teacher if I hadn't been a lawyer just being present at that,0
debate and that litigation that controversy was exciting but it was it,0
was particularly exciting to be part of that legal battle because it was such a,0
critical battle for the American people the our country our culture and our law,0
it was in some sense is more important than we knew at the time I think that at,0
the time I don't think most of us fully appreciated the difference to this,0
country and to the world that it made as to whether a George W Bush or Al Gore,0
was going to become president but what we did know is that it was a momentous,0
decision and it was a decision where for the first time in American history the,0
United States Supreme Court decided a presidential election there'd been one,0
election in the past where three members of the court had participated in a,0
government commission three senators three congressmen and three Supreme Court justices had assembled together to,0
decide the results of the 1876 election but never had the Supreme Court as a,0
court weighed in to decide a presidential election and particularly,0
not on a partisan basis Al Gore won the popular vote which in every other,0
democracy is the vote but of course in the United States we have what I call,0
Villa is Electoral College where each state gets a certain number of electoral votes and those go with two small,0
exceptions those go all all to one candidate so if somebody wins,0
California by 50.000 zero one percent,0
and somebody loses California by forty,0
nine point nine nine nine nine percent what happens is all of California's,0
electoral votes goes to the winner so you know winner-take-all situation you,0
can get a situation where somebody wins by the popular vote but doesn't get a majority of electoral votes in the 2000,0
election it was clear Gore won the popular vote but and the electoral votes,0
he needed for more electoral votes to be elected Florida had and I don't remember,0
the exact number but had many times more than what he needed but if he lost Florida because he lost all of Florida,0
votes Bush would be elected president so the election really came down to Florida,0
all the other states had been decided Florida was still undecided and there were only a few hundred votes that,0
separated the two candidates and what Florida law provided and had provided,0
for eighty years is that in those cases you have a manual recount of all the,0
ballots and the reason for that is that Florida has four different kinds of vote,0
counting machines they're four different machines that are used to record votes in different parts of the state in order,0
to make it all equal you've got to have a recount then it allows people to have,0
a consistent result which is what the manual recount is designed to do and we,0
had litigation in Florida as to whether or not we would get that manual recount,0
and Florida Supreme Court ultimately held yes there has to be a statewide,0
recount we're going to recount the entire state to be fair and we're going,0
to decide the winner based on the actual voter intent of the,0
particular ballots that was what Florida law had always been the bush camp,0
appealed back to the United States Supreme Court and they had two arguments one argument was a legal argument that,0
said the Florida courts can't do that because only the Florida Legislature can do that the Supreme Court rejected that,0
argument 6 2 3 they also however argued that the vote,0
count ought to be stopped because it somehow violated the Equal Protection Clause that decision was five to four,0
against us and it was a decision that the Supreme Court initially made on a,0
Saturday without ever hearing argument they heard argument two days later and,0
and came out with the same result but they initially stopped the vote County before they even had an argument over,0
the very bitter dissent of four of the justices but in our legal system when,0
this United States Supreme Court makes a decision that's the end of the road,0
there wasn't anything else you can do it was a tough time it was a frustrating time it was disappointing time and as I,0
say I think as time has gone on I think you know people have moved on from that,0
and I think that's the right thing to do but I think we will always wonder how,0
the world would have been different how our country would have been different,0
how the economy would have been different how international relations would have been different the lives that,0
might have been saved the treasurer that might have been saved if Supreme Court,0
had ruled 5-4 in favor of Gore as opposed to 5-4 in favor of Bush it was,0
clearly a very important case it was clear that it was a very very important case important to who became president,0
but also important to the integrity of our law and the way we resolve disputes,0
now I think that I think that the case,0
fortunately is not going to be a precedent for future elections I think I,0
think I think everybody is sort of learned in retrospect the lesson that the supreme court ought not to be play,0
that kind of role and indeed even in the Supreme Court decision itself it says in,0
effect this isn't a precedent for the future so I think that the long-term,0
damage that the case does to our law is not going to be is not going to be significant four of the justices wrote,0
very very strong dissents they're a passionate dissents and and obviously,0
the sense that I agreed with on the other hand again one of the things that,0
I think is is critically important is our belief in and our allegiance to the,0
rule of law and when the Supreme Court makes a decision I think we we accept it,0
and move on,0
Perry v. Hollingsworth...,0
Nate California passed so-called Proposition 8 that banned marriage,0
between anybody of the same sex this declared that marriage was limited,0
to a man and a woman and that was contrary to what California law had been,0
immediately preceding that because the California Supreme Court earlier in 2008,0
had declared that under the state constitution any loving couple had a,0
right to get married now when that was changed that deprived,0
gay and lesbian citizens the right to get married and Ted Olson and I brought,0
a lawsuit to challenge proposition 8 under the Federal Constitution and,0
ultimately the judge ruled that the ban,0
on same-sex marriage violated the Federal Constitution violated equal protection and due process clauses the,0
Federal Constitution and invalidated proposition 8 in that decision was,0
ultimately sustained by the court of appeals and the Supreme Court on the,0
grounds that the people on the other side the defendants really didn't have standing to oppose judgment,0
What cases are you proudest of?,0
I think that you know cases are in some,0
senses a little like children I have six children and hard to say which one I'm most proud of but but I think that,0
certainly the marriage equality cases are cases that I am enormous ly proud of,0
I think that we have in in those cases,0
contributed to a really important change in this country the cases that I've done,0
in the area of racial equality as a young lawyer working in Mississippi and,0
then later on I successfully sued the Republican National Committee on behalf,0
of a Democratic National Committee in 1986 I think it was to stop the RNC from,0
targeting black and minority districts with voter ID voter security kinds of,0
tactics I mean that litigation I'm very,0
proud I'm proud of the Microsoft case that was a important challenging case,0
I'm certainly proud of Westmorland CBS liable case I think that was very,0
important in terms of establishing and confirming freedom of the press and the,0
ability of the press to engage in very direct hostile criticism of government,0
government action being from speech freedom of the press I'm proud of the,0
the Bush v Gore even though we lost I think that the example that we gave to,0
the country was an important example I think I think the record that we made,0
was important in convincing the people,0
and convincing the court not to repeat it even though we didn't win that case I,0
think the controversy that ensued in part because of the record we made I think has been helpful in,0
limiting the extent to which that kind of interference with a democratic,0
political process will be repeated I also think that the way that case was,0
conducted and with Ted Olson and what what Ted and his team did together with,0
what we did you know showed the American people that even the most contentious,0
issues can be resolved in the courts and,0
well I might disagree with how it was resolved I think everybody on both sides,0
of the lawyers there believed that it was resolved in a way that gave the,0
legal process credibility and everybody everybody involved in the case,0
you know acted with professionalism integrity and and after the fact,0
everybody United together to say this is the final decision we've all got to,0
abide by it and move on I'm also proud of a couple of antitrust cases that,0
don't necessarily get the same profile but are often very important I defended,0
IBM in a case in the 1970s that was brought against it by private parties,0
that we're trying to prevent IBM from competing by price on price and we,0
established a principle that even somebody would not be power can compete,0
on price as long as it's not totally blow cost and that case incidentally,0
when I argued that case in the court of appeals I argued it in front of a panel that included Anthony Kennedy that is,0
this was before he was on the Supreme Court so my first case in front of Justice,0
Kennedy was oh this is almost must be 35 years ago 35 more years ago and there,0
was a another antitrust case where I represented skaar where they were accused of,0
violating the antitrust laws and they were trying to get private parties are,0
trying to get court to intervene and regulate how they conducted their business and we won that case and that,0
was important to to establishing the right of companies to manage manage,0
their own affairs and to compete vigorously I mean the antitrust laws are not designed to protect competitors from,0
